工站(w),时间(s),颈部角度(°),肩部前屈角度(°),肩部外展角度(°)
2,72,15.73,123.65,37.48
2,73,-3.98,128.79,39.51
2,74,17.64,141.74,64.2
2,75,14.5,122.71,85.28
2,76,-6.3,17.18,43.18
2,77,10.43,73.05,76.15
2,78,-8.58,98.86,22.71
2,79,14.96,86.4,24.39
2,80,-12.49,114.81,50.85
2,81,-17.04,145.42,72.94
2,82,27.43,69.79,50.13
2,83,23.88,83.51,72.19
2,84,-14.87,72.54,16.73
2,85,-17.64,10.13,8.73
2,86,28.64,43.93,68.01
2,87,20.35,87.09,19.55
2,88,13.69,94.04,74.47
2,89,16.18,146.56,59.49
2,90,-9.5,100.79,11.5
2,91,23.84,26.71,36.15
2,92,18.94,93.62,42.4
2,93,-1.59,129.64,37.3
2,94,22.18,22.34,78.8
2,95,20.85,35.45,45.88
2,96,-20.07,108.92,55.86
2,97,8.12,37.51,25.12
2,98,-27.51,55.09,58.18
2,99,21.48,103.37,46.36
2,100,27.19,110.69,93.37
2,101,1.66,46.25,10.02
2,102,13.57,26.98,33.76
2,103,1.95,89.02,62.06
2,104,-20.02,63.16,63.63
2,105,28.19,111.87,92.65
2,106,15.73,92.84,23.24
2,107,10,97.27,62.23
2,108,-0.61,84.01,36.77
2,109,1.16,37.66,81.49
2,110,-18.85,21.9,46.44
2,111,9.5,71.28,31.29
2,112,3.49,58.58,93.62
2,113,25.36,80.33,36.15
2,114,14.23,15.14,50.1
2,115,-9.82,138.88,6.14
