工站(w),时间(s),颈部角度(°),肩部前屈角度(°),肩部外展角度(°)
2,72,15.73,123.65,37.48
2,73,-3.98,128.79,39.51
2,74,17.64,141.74,64.2
2,75,14.5,122.71,85.28
2,76,-6.3,17.18,43.18
2,77,10.43,73.05,76.15
2,78,-8.58,98.86,22.71
2,79,14.96,86.4,24.39
2,80,-12.49,114.81,50.85
2,81,-17.04,145.42,72.94
2,82,27.43,69.79,50.13
2,83,23.88,83.51,72.19
2,84,-14.87,72.54,16.73
2,85,-17.64,10.13,8.73
2,86,28.64,43.93,68.01
2,87,20.35,87.09,19.55
2,88,13.69,94.04,74.47
2,89,16.18,146.56,59.49
2,90,-9.5,100.79,11.5
2,91,23.84,26.71,36.15
2,92,18.94,93.62,42.4
2,93,-1.59,129.64,37.3
2,94,22.18,22.34,78.8
2,95,20.85,35.45,45.88
2,96,-20.07,108.92,55.86
2,97,8.12,37.51,25.12
2,98,-27.51,55.09,58.18
2,99,21.48,103.37,46.36
2,100,27.19,110.69,93.37
2,101,1.66,46.25,10.02
2,102,13.57,26.98,33.76
2,103,1.95,89.02,62.06
2,104,-20.02,63.16,63.63
2,105,28.19,111.87,92.65
2,106,15.73,92.84,23.24
2,107,10,97.27,62.23
2,108,-0.61,84.01,36.77
2,109,1.16,37.66,81.49
2,110,-18.85,21.9,46.44
2,111,9.5,71.28,31.29
2,112,3.49,58.58,93.62
2,113,25.36,80.33,36.15
2,114,14.23,15.14,50.1
2,115,-9.82,138.88,6.14
3,1,7.41,18.83,35.84
3,2,10.37,57.22,22.06
3,3,-13.12,74.06,50.16
3,4,16.98,115.02,48.4
3,5,20.74,25.99,29.26
3,6,19.68,62.92,98.21
3,7,-2.02,120.87,43.22
3,8,-4.5,63.6,73.31
3,9,2.85,142.13,28.83
3,10,-23.97,65.06,63.59
3,11,21.65,58.47,67.11
3,12,-8.99,96.41,89.06
3,13,-16.12,66.59,99.36
3,14,22.11,89.05,54.08
3,15,-12.92,82.41,85.58
3,16,11.11,50.61,24.14
3,17,-14.09,33.77,14.09
3,18,-4.85,25.86,21.33
3,19,2.84,33.04,11.07
3,20,-10.96,40.84,53.95
3,21,-23.86,115.25,91.09
3,22,14.61,84.6,86.76
3,23,11.7,11.48,42.44
3,24,21.06,58.42,8.35
3,25,14.77,122.29,20.26
3,26,2.24,36.87,73.33
3,27,-13.71,54.27,85.27
3,28,-1.42,103.77,43.23
3,29,-12.12,97.57,19.71
3,30,-7.62,39.27,71.1
3,31,26.65,149.37,47.78
3,32,-14.85,72,85.49
3,33,-17.64,143.29,37.48
3,34,29.15,127.41,81.81
3,35,-10.93,11.23,41.3
3,36,-11.89,15.24,53.01
3,37,-5.82,98.84,64.01
3,38,-22.76,146.78,22.76
3,39,-3.28,78.34,82.24
3,40,-24.05,70.01,64.71
3,41,-17.09,97.85,92.75
3,42,29.85,14.54,27.38
3,43,-11.38,65.88,28.01
3,44,-17.79,143.64,92.26
3,45,-27.18,57.43,43.49
3,46,-15.66,98.04,65.84
3,47,21.03,113.72,56.54
3,48,9.22,48.36,61.34
3,49,-0.65,28.67,28.04
3,50,-12.5,139.4,26.89
3,51,-12.65,61.71,68.06
3,52,-22.91,143.55,87.23
3,53,4.63,104.37,6.58
3,54,-9.66,121.39,12.36
3,55,-13.06,91.94,29.36
3,56,26.04,28.35,80.75
3,57,0.48,115.05,34.52
3,58,0.87,129.96,49.35
3,59,-8.42,85.06,73.15
3,60,-3.39,141.44,33.02
3,61,-1.47,115.97,70.47
3,62,21.82,149.55,45.55
3,63,-23.33,14.26,74.05
3,64,22.44,40.9,20.05
3,65,-26.27,125.18,34.58
3,66,-5.9,80.39,84.75
3,67,9.05,96.11,21.69
3,68,0.79,110.15,97.46
3,69,-17.92,11.34,12.15
3,70,-7.45,124.88,5.68
3,71,-2.6,56.09,9.99
3,72,-2.99,45.66,38.43
3,73,12.34,83.02,16.84
3,74,27.68,99.03,77.76
3,75,-25.25,16.59,6.85
3,76,-18.67,68.02,93.9
3,77,-2.58,50.64,58.38
3,78,-23.28,95.33,59
3,79,17.52,148.14,28.83
3,80,0.58,137.24,79.59
3,81,-0.76,142.35,10.44
3,82,25.86,17.07,56.99
3,83,23.43,46.78,49.86
3,84,-10.54,143.3,83.25
3,85,12.54,92.27,82.96
3,86,-6.46,72.66,74.35
3,87,-8.53,18.95,12.06
3,88,-23.08,131.76,49.86
3,89,12.77,65.01,29.58
3,90,-9.17,121.19,64.4
3,91,26.26,105.16,59.17
3,92,6.61,141.93,79.88
3,93,-28.56,84.78,70.39
3,94,14.92,39.84,87.38
3,95,27.35,43.14,88.85
3,96,-24.18,17.8,17.28
3,97,-26.54,128.3,10.61
3,98,-13.7,24.53,33.07
3,99,-24.57,103.52,17.67
3,100,21.11,124.41,6.3
3,101,23.74,14.05,27.77
3,102,-28.06,57.02,53.82
3,103,17.8,57.32,72.02
3,104,-18.75,115.08,27.42
3,105,-21.39,35.96,22.3
3,106,0.77,128.27,12.56
3,107,12.42,101.61,87.89
3,108,-15.35,73.02,92.95
3,109,9.6,64.43,17.48
3,110,-14.25,91.37,73.23
3,111,-22.53,93.94,57.28
3,112,0.84,106.62,84.56
3,113,-10.62,134.46,20.26
3,114,-19.62,47.35,16.36
3,115,-16.18,24.9,83.07
3,116,-21.66,114.62,9.55
3,117,26.91,109.56,5.65
3,118,15.83,81.97,79.04
3,119,1.35,99.74,79.7
3,120,-5.69,10.38,85.74
3,121,-7.15,79.45,5.74
3,122,-0.47,148.11,31.44
3,123,-6.27,106.21,82.41
3,124,-4.96,53.35,94.09
3,125,10.63,26.66,11.55
3,126,-0.99,40.81,29.13
3,127,22.66,22.54,72.96
3,128,-13.73,116.45,73.63
3,129,-29.56,81.28,18.24
3,130,21.97,132.02,44.74
3,131,-3.34,52.46,73.08
3,132,-8.48,47.49,46.06
3,133,-24.51,114.52,6.2
3,134,8.67,35.6,27.08
3,135,8.14,149.01,78.88
3,136,-16.45,34.64,87.29
3,137,-3.35,29.19,86.91
3,138,18.97,147.75,91.43
3,139,21.11,17.36,14.92
3,140,4.14,84.41,48.51
3,141,-6.19,70.37,59.08
3,142,-29.88,46.5,54.24
3,143,13.33,34.38,56.95
3,144,12.87,72.25,7.57
3,145,-3.04,51.5,93.32
3,146,-22.52,101.35,10.01
3,147,-3.23,87.56,33.31
3,148,-2.7,32.9,33.89
3,149,7.27,52.25,90.48
3,150,7.7,71.41,8.68
3,151,-0.03,117.07,30.23
3,152,18.41,45.25,83.26
3,153,-24.88,131.27,52.42
3,154,-12.21,47.12,46.04
3,155,29.94,40.85,14.81
3,156,5.1,78.4,54.8
3,157,10.02,47.4,91.51
3,158,-3.86,28.07,75.52
3,159,8.59,54.2,64.04
3,160,-16.81,72.28,90.44
3,161,-21.99,64.14,83.01
3,162,28.17,73.55,53.16
3,163,4.33,140.53,86.53
3,164,-19.76,71.15,49.08
3,165,17.35,94.41,67.15
3,166,29.89,20.49,26.19
3,167,-5.53,58.69,7.06
3,168,-24.49,105.33,88.54
3,169,0.85,85.49,29.23
3,170,16.07,115.25,60.89
3,171,-17.24,23.58,11.1
3,172,5.56,125.5,86.54
3,173,-2.18,119.8,94.95
3,174,-13.49,65.71,93.49
3,175,-9.71,137.94,98.2
3,176,9.71,124.36,76.21
3,177,11.97,52.97,10.42
3,178,-9.42,103.37,14.74
3,179,-29.28,29.56,72.99
3,180,28.37,147.63,51.93
3,181,22.16,113.16,52.6
3,182,4.37,29.21,94.08
3,183,-8.88,72.46,68.81
3,184,-9.97,45.6,64.95
3,185,-28.5,110.9,53.83
3,186,6.35,98.46,55.07
3,187,4.95,105.73,76.55
3,188,13.65,131.75,23
3,189,-5.93,142.69,42.68
3,190,-22.51,83.56,15.4
3,191,-17.83,149.76,56.43
3,192,-12.96,149.27,96.82
3,193,-3.56,46.46,84.65
3,194,12.94,106.17,89.85
4,1,-8.85,27.66,17.34
4,2,10.57,130.2,96.46
4,3,7.7,35.77,15.04
4,4,18.77,91.03,63.74
4,5,16.89,108.46,84.27
4,6,-26.63,114.65,85.83
4,7,-12.83,99.66,34.85
4,8,27.48,14.68,60.08
4,9,-20.01,109.71,21.71
4,10,-15.88,79.21,91.91
4,11,-17.3,30.19,77.1
4,12,0.04,137.65,18.93
4,13,8.76,42.6,19.89
4,14,11.01,93.12,76.71
4,15,-11.43,72.72,43.52
4,16,29.05,50.91,33.01
4,17,-8.73,89.04,28.97
4,18,24.92,47.2,90.1
4,19,-23.79,101.92,91.16
4,20,-19.88,145.57,48.02
4,21,26.74,104.75,33.65
4,22,-18.7,52.52,13.84
4,23,-21.37,24.65,45.18
4,24,17.73,29.79,17.38
4,25,8.61,37.61,14.27
4,26,-19.99,139.32,83.04
4,27,-8.76,101.81,56.04
4,28,10.63,105.57,64.73
4,29,-14.03,15.46,48.28
4,30,23.46,89.73,84.08
4,31,29.5,32.91,70.72
4,32,10.46,147.19,98.63
4,33,11.2,44.11,80.86
4,34,-23.58,119.3,91.47
4,35,-7.03,98.29,45.86
4,36,-3.73,53.45,77.4
4,37,26.17,141.71,21.6
4,38,22.48,113.24,29.02
4,39,-25.96,47.52,91.66
4,40,7.99,110.95,29.43
4,41,13.16,13.94,40.66
4,42,7.61,30.45,83.19
4,43,-15.9,101.32,43.49
4,44,5.76,25.04,6.61
4,45,24.57,47.75,82.87
4,46,29.96,39.6,30.19
4,47,9.77,145.16,92
4,48,0.17,121.32,17.9
4,49,28.65,145.01,20.55
4,50,-12.03,24.02,30.81
4,51,18.96,62.96,13.4
4,52,-9.47,147.39,64.82
4,53,-5.03,33.32,98.69
4,54,19.25,49.41,11.66
4,55,-26.6,26.85,60.17
4,56,25.73,79.54,85.08
4,57,-3.25,109.2,74.53
4,58,-19.56,60.57,65.54
4,59,-25.76,60.62,55.81
4,60,29.77,76.43,82.53
4,61,-4.08,121.49,61.56
4,62,23.2,67.53,62.41
4,63,7.8,68.43,18.71
4,64,-24.39,12.33,87.99
4,65,-15.81,39.61,74.92
4,66,-10.8,80.85,20.44
4,67,27.58,129.22,87.06
4,68,-5.59,116.73,18.67
4,69,-29.48,12.8,60.73
4,70,-2.68,82.52,5.71
4,71,-4.64,110.53,47.06
4,72,13.93,42.62,82.25
4,73,5.31,39.51,27.49
4,74,7.68,126.19,44.48
4,75,-14.5,131.38,68.58
4,76,-3.11,78.31,24.4
4,77,7.61,60.22,99.59
4,78,-1.19,78.02,58.76
4,79,25.01,122.11,47.86
4,80,13.12,92.07,51.77
4,81,-18.46,74.95,28.35
4,82,24.89,56.96,95.47
4,83,1.98,98.42,56.58
4,84,-22.24,62.61,14.42
4,85,7.38,72.56,78.91
4,86,-16.77,33.04,43.6
4,87,25.6,109.46,44.8
4,88,1.04,21.79,98.53
4,89,9.98,49.96,60.65
4,90,-23.43,145.22,21.6
4,91,8.88,44.36,73.17
5,1,10.41,96.03,89.78
5,2,-25.28,56.33,28.59
5,3,29.28,64.51,74.6
5,4,11.08,39.69,27.7
5,5,-13.12,67.56,27.26
5,6,-28.82,133.12,96.73
5,7,-9.51,57.39,5.67
5,8,10.82,125.56,18.93
5,9,-20.42,120.61,63.55
5,10,-27.31,97.16,34.35
5,11,-7.88,117.76,82.04
5,12,-5.98,142.6,43.61
5,13,16.31,77.74,90.27
5,14,24.47,22.24,93.97
5,15,19.53,120.78,24.09
5,16,18.31,129.02,32.47
5,17,27.14,16.98,19.24
5,18,2.25,90.61,66.29
5,19,-28.98,144.45,9.24
5,20,-21.42,11.96,58.85
5,21,25.94,103.23,83.15
5,22,-29.2,85.88,48.66
5,23,-0.06,20.11,70.02
5,24,0.19,117.12,51.1
5,25,-21.04,100.76,21.38
5,26,22.34,95.84,19.93
5,27,27.74,82.57,11.93
5,28,7.61,45.45,81.35
5,29,19.07,147.05,52.68
5,30,-2.7,115.49,17.58
5,31,2.81,86.47,13.5
5,32,-4.92,129.46,86.33
5,33,-24.05,22.7,29.96
5,34,22.49,28.05,73.4
5,35,-23.93,97.24,38.83
5,36,17.33,42.72,65.72
5,37,-15.86,109.91,88
5,38,-22.39,131.32,61.39
5,39,-22.37,69.86,20.28
5,40,12.02,116.24,15.05
5,41,0.37,124.05,93.94
5,42,0.81,143.04,55.89
5,43,-6.35,128.75,51.83
5,44,-1.69,78.64,85.44
5,45,19.92,66.49,36.66
5,46,-0.48,90.19,27.64
5,47,17.64,78.11,36.73
5,48,-23.59,43.44,95.18
5,49,-11.69,33.64,48.76
5,50,-11.57,14.92,35.7
5,51,2.65,87.24,38.87
5,52,-3.16,145.17,40.85
5,53,-14.51,44.09,48.49
5,54,15.57,38.84,72.38
5,55,-28.73,68.65,78.71
5,56,-9.68,88.92,24.47
5,57,14.52,17.32,85.99
5,58,-18.11,132.42,38.49
5,59,13.36,54.69,91.06
5,60,-22.4,34.99,51.84
5,61,-25.08,37.44,94.66
5,62,28.59,62.68,92.71
5,63,2.69,47.76,71.73
5,64,9.53,148.48,30.18
5,65,10.32,17.28,15.8
5,66,-29.76,149.92,81.22
5,67,17.2,81.36,33.51
5,68,-20.92,49.85,40.72
5,69,15.38,85.55,12.36
5,70,-28.92,24.33,44
5,71,25.99,99.24,81.17
5,72,-2.02,60.63,15.3
5,73,22.56,119.64,20.97
5,74,0.74,78.23,64.38
5,75,26.77,91.17,56.32
5,76,-26.98,18.81,22.8
5,77,-28.05,114.07,73.72
5,78,-21.84,127.05,19.7
5,79,-11.93,44.86,40.37
5,80,-14.72,78.45,43.7
5,81,29.19,17.83,18.51
5,82,-26.83,97.62,10.18
5,83,20.19,81.67,55.07
5,84,3.7,33.91,23.78
5,85,-10.87,93.09,24.96
5,86,-23.02,145.82,7.09
5,87,18.16,120.32,33.24
5,88,-21.86,30.39,71.26
5,89,8.57,119.58,94.06
5,90,11.52,31.82,28.13
5,91,20.53,39.3,11.89
5,92,12.2,66.35,92.4
5,93,9.02,22.66,95.05
5,94,-14.49,57.21,43.21
5,95,-26.93,79.51,16.72
5,96,-5.94,59.1,78.42
5,97,18.19,31.48,39.82
5,98,-7.6,31.2,80.85
5,99,12.43,36.65,39.84
5,100,-23.65,97.95,16.53
5,101,29.16,119.3,42.07
5,102,4.71,137.59,57.64
5,103,-19.53,63.02,85.1
5,104,8.65,101.1,87.35
5,105,23.64,138.77,14.01
5,106,2.65,113.67,76.91
5,107,6.4,33.35,80.75
5,108,13.21,22.06,49.06
5,109,-19.56,57.25,6.72
5,110,-5.98,86.98,63.86
5,111,9.81,127.08,25.47
5,112,-22.77,129.22,19.88
5,113,28.49,127.96,52.58
5,114,28.89,23.63,33.79
5,115,8.29,59,93.2
5,116,-26.06,86.92,61.13
5,117,9.16,45.79,39.63
5,118,20.62,37.29,83.55
5,119,3.76,116.71,72.79
5,120,-17.55,89.63,87.43
5,121,-4.07,145.32,47.96
5,122,-21.43,64.52,95.41
5,123,-10.82,131.53,88.72
5,124,-8.99,21.66,73.83
5,125,-11.31,119.61,47.05
5,126,-0.88,118.91,41.32
5,127,-3.41,62.67,39.9
5,128,1.56,123.23,39.37
5,129,1.46,103.9,30.6
5,130,-13.35,140.68,73.74
5,131,4.63,100.68,7.78
5,132,7.09,81.33,56.85
5,133,-8.43,21.41,23.37
5,134,27.04,67.22,49.33
5,135,-26.84,15.26,73.13
5,136,2.29,81.22,28.1
5,137,14.69,33.55,23.04
5,138,-2.36,50.08,28.51
5,139,8.71,101.14,83.33
5,140,-4.94,20.23,31
5,141,28.8,93.48,72.43
5,142,-29.56,82.55,8.57
5,143,4.15,138.91,97
5,144,2.43,74.15,94.78
5,145,10.42,19.09,49.24
5,146,-15.59,75.77,48.27
5,147,4.93,59.95,20.61
5,148,0.22,126.23,68.08
5,149,-9.7,140.97,91.66
5,150,-17.44,15.52,75.42
5,151,19.66,145.5,89.53
5,152,6.03,84.21,7.64
5,153,-15.2,74.35,64.71
5,154,3.44,113.97,31.58
5,155,3.9,22.34,44.3
5,156,15.01,107.08,99.11
5,157,-13.33,79.75,36.31
5,158,-3.56,129.97,70
5,159,22.95,38.49,87.97
5,160,-26.41,134.4,36.26
5,161,-11.12,81.69,94.37
5,162,-27.13,59.31,86.37
5,163,-6.24,37.88,45.36
5,164,-6.87,138.16,77.38
5,165,0.31,148.37,49.2
5,166,-26.51,46.72,46.43
5,167,-20.59,142.66,77.85
5,168,-13.9,92.71,73.54
5,169,26.48,133.43,53.94
5,170,16.48,88.7,57.51
5,171,-23.12,27.66,55.31
5,172,-13.87,12.95,73.67
5,173,-28.05,93.34,56.22
5,174,28.13,77.79,11.04
5,175,3.1,127.75,99.7
5,176,-4.18,54.84,91.13
5,177,-18.53,96.16,43.54
5,178,-27.54,58.62,30.2
6,1,22.99,142.75,51.24
6,2,12.14,129.28,38.88
6,3,-14.32,142.52,74
6,4,-16.82,72.87,80.66
6,5,2.82,100.99,76.61
6,6,7.32,85.61,76.21
6,7,13.65,98.18,39.18
6,8,-5.65,145.86,15.68
6,9,-13.89,78.94,84.49
6,10,-20.18,48.77,11.25
6,11,12.36,43.35,41.92
6,12,-3.38,134.78,44.08
6,13,-21.29,83.4,96.48
6,14,6.46,147.67,84.91
6,15,-27.84,102.18,32.24
6,16,3.58,49.11,38.14
6,17,25.39,38.93,88.04
6,18,-28.17,22.72,86.19
6,19,7.83,114.61,24.89
6,20,2.23,113.21,64.59
6,21,-1.7,144.37,69.23
6,22,24.47,112.17,74.87
6,23,-25.2,60.33,86.55
6,24,-16.04,26.17,35.98
6,25,-16.77,139.54,87.46
6,26,-0.02,18.59,72.88
6,27,7.4,145.88,58.1
6,28,-9.82,82.66,98.03
6,29,11.78,104.08,27.86
6,30,14.62,115.04,35.14
6,31,-0.98,51.24,29.58
6,32,-28.45,49.93,57.63
6,33,-29.9,49.65,88.73
6,34,5.62,95.1,43.32
6,35,10.59,36.59,82.78
6,36,-23,101.84,37.41
6,37,14.85,86.97,47.97
6,38,-19.83,99.16,97.6
6,39,19.54,18.4,40.74
6,40,25.53,80.43,67.9
6,41,24.76,132.33,52.67
6,42,-3.74,57.56,73.31
6,43,-12.78,44.98,38.84
6,44,-19.37,107.32,63.54
6,45,-1.03,64.65,91.36
6,46,-28.25,117.68,90.68
6,47,-3.22,87.1,94.72
6,48,-17.26,82.82,50.1
6,49,-14.5,124.6,90.46
6,50,16.92,37.35,13.24
6,51,6.33,17.99,68.92
6,52,1.83,102.79,61.07
6,53,-4.64,38.12,34.04
6,54,1.47,101.26,79.05
6,55,16.03,146.18,32.15
6,56,-25.73,58.39,75.61
6,57,-3.71,124.49,57.19
6,58,25.79,142.7,11.58
6,59,-2.62,95.36,29.31
6,60,-5.58,104.88,26.54
6,61,6.12,107.64,13.6
6,62,-0.15,46.83,73.82
6,63,-18.63,134.91,45.94
6,64,-18.12,71.32,43.83
6,65,-4.26,91.98,54.51
6,66,-21.01,19.18,74.29
6,67,3.58,60.26,81.79
6,68,-6.72,121.44,34.05
6,69,-25.63,140.57,42.48
6,70,17.56,49.08,66.4
6,71,22.4,15.83,83.91
6,72,4.28,95.05,54.7
6,73,22.47,16.08,29.8
6,74,22.55,115.33,6.68
6,75,1.02,84.14,43.08
6,76,-12.16,105.44,24.74
6,77,17.94,122.43,44.45
6,78,-12.99,49.74,50.82
6,79,13.17,60.24,62.95
6,80,-7.05,52.63,7.36
6,81,-29.77,41.81,43.61
6,82,21.08,121.79,30.38
6,83,-15.33,41.83,37.23
6,84,-0.11,71.41,25.74
6,85,-22.17,11.76,19.63
6,86,12.32,44.11,49.52
6,87,5.48,134.16,89.44
6,88,14.74,14.92,59.63
6,89,17.2,12.42,57.22
6,90,21.47,76.37,5.39
6,91,-29.34,68.33,19.73
6,92,9.87,109.23,21.9
6,93,23.31,71.87,18.57
6,94,15.86,120.6,65.73
6,95,21.21,113.23,88.81
6,96,-3.97,114.66,99.98
6,97,13.5,25.99,54.24
6,98,5.24,34.39,96.47
6,99,-19.47,34.86,91.94
6,100,-2.09,18.85,61.83
6,101,6.11,19.03,97.39
6,102,2.64,88.37,54.41
6,103,6.64,47,32.29
6,104,0.68,122.94,9.74
6,105,6.2,122.95,19.91
6,106,-29.1,53.78,60.87
6,107,-21.7,69.66,57.47
6,108,5.93,48.42,43
6,109,16.7,141.77,86.88
6,110,3.86,67.44,36.63
6,111,-22.5,24.92,70.39
6,112,-14.41,45.65,99.83
6,113,-18.72,30.73,14.38
6,114,4.79,97.9,39.7
6,115,2.12,120.38,82.72
6,116,27.47,125.4,58.66
6,117,-19.22,23.97,10.18
6,118,9.99,123.06,53.32
6,119,-26.72,84.97,93.9
6,120,5.86,123.32,81.01
6,121,25.93,117.83,76.03
6,122,-15.95,18.39,54.17
6,123,-22.53,144.71,32.54
6,124,21.18,64.27,35.7
6,125,26.11,60.87,42.08
6,126,-23.63,103.86,32.44
6,127,5.14,92.79,73.32
6,128,14.71,82.02,36.44
6,129,20.25,53.38,53.21
6,130,-5.92,129.71,46.03
6,131,-6.83,106.58,62.23
6,132,-23.57,81.14,74.87
6,133,29.52,98.08,40.18
6,134,-16.43,132.2,82.38
6,135,-15.96,38.09,72.94
6,136,-11.1,52.9,19.47
6,137,-14.16,69.85,74.62
6,138,-9.82,56,32.07
6,139,-1.3,35.29,51.13
6,140,12.25,14.17,5.93
6,141,-25.49,84.99,86.17
6,142,-29.71,141.13,15.1
6,143,20.52,77.6,67.64
6,144,0.64,76.79,84.32
6,145,15.35,77.68,15.61
6,146,-23.08,122.22,55.29
6,147,-1.1,105.28,86.59
6,148,7.73,116.8,77.7
6,149,-8.62,48.37,81.11
6,150,-7.37,136.47,11.62
6,151,-26.51,139.78,66.6
6,152,-7.22,115.71,68.87
6,153,1.87,23.84,82.16
6,154,21.96,34.1,85.8
6,155,22.67,86.92,67.34
6,156,-7.07,49.45,73.59
6,157,21.71,101.57,53.6
7,1,-22.27,142.67,50.14
7,2,-10.96,117.28,52.31
7,3,-11.4,123.68,87.38
7,4,10.38,16.58,58.8
7,5,15.8,29.11,26.72
7,6,22.95,12.82,76.51
7,7,-1.57,72.55,5.67
7,8,19.16,60.38,56.37
7,9,10.64,108.37,95.82
7,10,1.88,65.96,95.6
7,11,8.53,51.74,17.01
7,12,20.55,60.71,67.74
7,13,-1.75,37.85,62.16
7,14,-26.36,67.87,56.93
7,15,-3.84,114.81,83.65
7,16,16.27,15.43,23.44
